case_id,laserRadius_m,laserRadius_um,elec_resistivity_ohm_m,target_width_um,target_depth_um,peak_width_um,peak_depth_um,peak_width_time_s,peak_depth_time_s,width_error_pct,depth_error_pct,score,within_tolerance,case_dir
r0355.0um_er2.450e-6,0.000355,355.0,2.450000000000002e-06,1033.1632653061224,437.5,992.6896725004716,476.2545857221695,0.006999246623,0.006999246623,-3.9174440443987946,8.858191022210173,9.685758412584969,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0355.0um_er2.450e-6
r0340.0um_er2.350e-6,0.00033999999999999997,339.99999999999994,2.3500000000000016e-06,1033.1632653061224,437.5,977.626736778288,475.5837044475586,0.00700057679,0.00700057679,-5.375387452570641,8.704846730870537,10.230794049007212,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0340.0um_er2.350e-6
r0355.0um_er2.400e-6,0.000355,355.0,2.400000000000002e-06,1033.1632653061224,437.5,989.911304078603,479.3801130223844,0.007003197522,0.007003197522,-4.186362666959899,9.572597262259297,10.447978308013937,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0355.0um_er2.400e-6
r0355.0um_er2.350e-6,0.000355,355.0,2.3500000000000016e-06,1033.1632653061224,437.5,959.4725412174262,476.6240132853244,0.006998254402,0.006998254402,-7.132534282165167,8.942631608074148,11.43869334163602,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0355.0um_er2.350e-6
r0340.0um_er2.250e-6,0.00033999999999999997,339.99999999999994,2.2500000000000018e-06,1033.1632653061224,437.5,979.530506301706,484.07198505143583,0.007000706165,0.007000706165,-5.191121365365731,10.645025154613904,11.843323079791388,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0340.0um_er2.250e-6
r0340.0um_er2.200e-6,0.00033999999999999997,339.99999999999994,2.200000000000002e-06,1033.1632653061224,437.5,982.2870278265976,487.1988368570002,0.007001027043,0.007001027043,-4.924317306660176,11.359734138742896,12.381133253446299,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0340.0um_er2.200e-6
r0325.0um_er1.750e-6,0.000325,325.0,1.750000000000001e-06,1033.1632653061224,437.5,943.9139577864424,479.97200894978687,0.007001174275,0.007001174275,-8.638451493262851,9.707887759951284,12.994842398477449,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0325.0um_er1.750e-6
r0330.0um_er1.300e-6,0.00033,330.0,1.3e-06,1033.1632653061224,437.5,899.0054151700052,422.2598683552643,0.006997538811,0.006997538811,-12.98515487737233,-3.4834586616538736,13.44428248129285,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0330.0um_er1.300e-6
r0325.0um_er1.800e-6,0.000325,325.0,1.8000000000000014e-06,1033.1632653061224,437.5,943.7692690131372,483.6362603412574,0.007000592381,0.007000592381,-8.652455937493878,10.545430935144552,13.640788370111778,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0325.0um_er1.800e-6
r0325.0um_er1.700e-6,0.000325,325.0,1.700000000000001e-06,1033.1632653061224,437.5,939.609657464697,487.34919263834286,0.007001081909,0.007001081909,-9.055065252799697,11.394101174478367,14.554028593716234,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0325.0um_er1.700e-6
r0330.0um_er1.600e-6,0.00033,330.0,1.6e-06,1033.1632653061224,437.5,893.86725552074,472.9849552697893,0.007001682479,0.007001682479,-13.482477984165415,8.110846918808978,15.734136466100013,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0330.0um_er1.600e-6
r0340.0um_er2.300e-6,0.00033999999999999997,339.99999999999994,2.3000000000000017e-06,1033.1632653061224,437.5,959.0315622658132,500.17108590724285,0.007001006625,0.007001006625,-7.175216689333628,14.324819635941223,16.02136673761446,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0340.0um_er2.300e-6
r0355.0um_er2.500e-6,0.000355,355.0,2.500000000000002e-06,1033.1632653061224,437.5,992.5020336096042,513.9717895950268,0.006996827579,0.006996827579,-3.93560563581115,17.479266193148995,17.916856263630343,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0355.0um_er2.500e-6
r0290.0um_er1.300e-6,0.00029,290.0,1.3e-06,1033.1632653061224,437.5,899.3147804766061,496.914106704536,0.006999162068,0.006999162068,-12.955211371153188,13.58036724675108,18.76869404694654,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0290.0um_er1.300e-6
r0290.0um_er1.000e-6,0.00029,290.0,1e-06,1033.1632653061224,437.5,878.6975691244184,497.15870867268416,0.006998545195,0.006998545195,-14.95075380326617,13.636276268042092,20.235440932785373,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0290.0um_er1.000e-6
r0325.0um_er1.650e-6,0.000325,325.0,1.6500000000000011e-06,1033.1632653061224,437.5,943.217648492144,521.3594741893222,0.007001380802,0.007001380802,-8.705847355822108,19.167879814702218,21.05230141276111,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0325.0um_er1.650e-6
r0250.0um_er0.700e-6,0.00025,250.0,7e-07,1033.1632653061224,437.5,851.3948344872916,494.5467089551581,0.006998289579,0.006998289579,-17.593388859501648,13.039247761178999,21.898614425096586,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0250.0um_er0.700e-6
r0370.0um_er1.600e-6,0.00037,370.0,1.6e-06,1033.1632653061224,437.5,931.2506033409574,338.1883390799376,0.007002533715,0.007002533715,-9.864139133418446,-22.69980821029998,24.75040471644534,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0370.0um_er1.600e-6
r0290.0um_er1.600e-6,0.00029,290.0,1.6e-06,1033.1632653061224,437.5,912.7989932301256,541.7896474201418,0.007000599058,0.007000599058,-11.65007275402241,23.837633696032412,26.53218753514748,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0290.0um_er1.600e-6
r0330.0um_er1.000e-6,0.00033,330.0,1e-06,1033.1632653061224,437.5,849.5405687677724,301.0508775734395,0.006999817254,0.006999817254,-17.77286346741561,-31.188370840356686,35.8969239839155,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0330.0um_er1.000e-6
r0290.0um_er0.700e-6,0.00029,290.0,7e-07,1033.1632653061224,437.5,835.1612758047752,292.47408410391165,0.006996321114,0.00600066903,-19.16463700852546,-33.14878077624876,38.29001147323337,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0290.0um_er0.700e-6
r0370.0um_er1.300e-6,0.00037,370.0,1.3e-06,1033.1632653061224,437.5,868.514938273985,271.1521042745149,0.007001472404,0.007001472404,-15.93633190039454,-38.022376165825165,41.22702710280044,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0370.0um_er1.300e-6
r0410.0um_er1.600e-6,0.00041,410.0,1.6e-06,1033.1632653061224,437.5,921.4013231167042,238.83101323065105,0.007003693763,0.007003693763,-10.817452182284425,-45.41005411870833,46.6807271449367,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0410.0um_er1.600e-6
r0410.0um_er1.300e-6,0.00041,410.0,1.3e-06,1033.1632653061224,437.5,857.2799511343558,216.79863230024307,0.006994841171,0.006994841171,-17.0237676926747,-50.446026902801584,53.24105837351786,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0410.0um_er1.300e-6
r0370.0um_er1.000e-6,0.00037,370.0,1e-06,1033.1632653061224,437.5,809.5127199574983,213.571893625641,0.006997551943,0.006997551943,-21.647163895471763,-51.18356717128206,55.57299031988974,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0370.0um_er1.000e-6
r0330.0um_er0.700e-6,0.00033,330.0,7e-07,1033.1632653061224,437.5,750.1792679355831,225.12916675955853,0.007001939812,0.007001939812,-27.390056041790473,-48.54190474067234,55.736269033950684,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0330.0um_er0.700e-6
r0410.0um_er1.000e-6,0.00041,410.0,1e-06,1033.1632653061224,437.5,792.8622950677968,184.98175474400065,0.007003497445,0.007003497445,-23.258760576153986,-57.718456058514136,62.228531344693344,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0410.0um_er1.000e-6
r0250.0um_er1.000e-6,0.00025,250.0,1e-06,1033.1632653061224,437.5,858.7625554001502,700.0000610351562,0.007000250649,0.007000250649,-16.880266242750896,60.00001395089286,62.32932746736076,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0250.0um_er1.000e-6
r0250.0um_er1.600e-6,0.00025,250.0,1.6e-06,1033.1632653061224,437.5,852.2802486356611,700.0000610351562,0.005999516026,0.005999516026,-17.507689514770576,60.00001395089286,62.502166892460174,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0250.0um_er1.600e-6
r0250.0um_er1.300e-6,0.00025,250.0,1.3e-06,1033.1632653061224,437.5,847.9886304352847,700.0000610351562,0.005999216191,0.007000137669,-17.923075770214417,60.00001395089286,62.61979175286504,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0250.0um_er1.300e-6
r0370.0um_er0.700e-6,0.00037,370.0,7e-07,1033.1632653061224,437.5,691.712381378848,170.86725739317552,0.006995853418,0.005998920359,-33.04907320975101,-60.94462688155988,69.32884526483932,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0370.0um_er0.700e-6
r0410.0um_er0.700e-6,0.00041,410.0,7e-07,1033.1632653061224,437.5,707.9144639770929,155.77170573696503,0.006995196808,0.006995196808,-31.480871634809777,-64.39503868869372,71.67821347247525,False,/home/kanak/LPBF_solvers/LaserbeamFoam_AMR/tutorials/laserbeamFoam/connor316AMR/meltpool_calibration/runs/r0410.0um_er0.700e-6
