time_s,laser,input_power_W,deposited_power_W,absorptivity
1.2e-07,laser0,200,47.09519193,0.2354759596
2.64e-07,laser0,200,47.09519193,0.2354759596
4.368e-07,laser0,200,47.09519193,0.2354759596
6.4416e-07,laser0,200,47.09519193,0.2354759596
8.92992e-07,laser0,200,47.09519193,0.2354759596
1.1915904e-06,laser0,200,47.09519193,0.2354759596
1.54990848e-06,laser0,200,47.09519193,0.2354759596
1.979890176e-06,laser0,200,47.09519193,0.2354759596
2.495868211e-06,laser0,200,47.09519193,0.2354759596
3.115041853e-06,laser0,200,47.09519193,0.2354759596
3.858050224e-06,laser0,200,47.09519193,0.2354759596
4.749660269e-06,laser0,200,47.09519193,0.2354759596
5.749660269e-06,laser0,200,47.09519193,0.2354759596
6.749660269e-06,laser0,200,47.09519193,0.2354759596
7.749660269e-06,laser0,200,47.09519193,0.2354759596
8.749660269e-06,laser0,200,47.09519193,0.2354759596
9.749660269e-06,laser0,200,47.09519193,0.2354759596
1.074966027e-05,laser0,200,47.09519193,0.2354759596
1.174966027e-05,laser0,200,47.09519193,0.2354759596
1.274966027e-05,laser0,200,47.09519193,0.2354759596
1.374966027e-05,laser0,200,47.09519193,0.2354759596
1.474966027e-05,laser0,200,47.09519193,0.2354759596
1.574966027e-05,laser0,200,47.09519193,0.2354759596
1.674966027e-05,laser0,200,47.09519193,0.2354759596
1.774966027e-05,laser0,200,47.09517018,0.2354758509
1.874966027e-05,laser0,200,47.09510827,0.2354755413
1.974966027e-05,laser0,200,47.09498965,0.2354749483
2.074966027e-05,laser0,200,47.09501571,0.2354750785
2.174966027e-05,laser0,200,47.09902409,0.2354951205
2.274966027e-05,laser0,200,47.14487981,0.2357243991
2.355221653e-05,laser0,200,47.26032811,0.2363016406
2.410298475e-05,laser0,200,47.50244484,0.2375122242
2.472266519e-05,laser0,200,47.81028816,0.2390514408
2.543994706e-05,laser0,200,63.54471963,0.3177235981
2.628394931e-05,laser0,200,63.47480951,0.3173740475
2.701697608e-05,laser0,200,64.47794415,0.3223897207
2.787219702e-05,laser0,200,64.90304242,0.3245152121
2.883258538e-05,laser0,200,47.71239352,0.2385619676
2.982397441e-05,laser0,200,47.44660275,0.2372330138
3.082397441e-05,laser0,200,48.60219046,0.2430109523
3.100848893e-05,laser0,200,51.6437392,0.258218696
3.122990635e-05,laser0,200,53.33941406,0.2666970703
3.14765551e-05,laser0,200,51.52786098,0.2576393049
3.165124549e-05,laser0,200,50.03698274,0.2501849137
3.181077537e-05,laser0,200,55.25832963,0.2762916481
3.1961548e-05,laser0,200,60.59723714,0.3029861857
3.210598773e-05,laser0,200,60.4278393,0.3021391965
3.224713816e-05,laser0,200,60.37228921,0.301861446
3.237841777e-05,laser0,200,69.76638149,0.3488319074
3.249345625e-05,laser0,200,81.00682117,0.4050341059
3.259810094e-05,laser0,200,72.2990494,0.361495247
3.269463082e-05,laser0,200,60.99195422,0.3049597711
3.278745164e-05,laser0,200,65.86962254,0.3293481127
3.287936128e-05,laser0,200,73.13912623,0.3656956312
3.297053614e-05,laser0,200,71.32079536,0.3566039768
3.306094733e-05,laser0,200,72.3447087,0.3617235435
3.314923457e-05,laser0,200,74.77685919,0.373884296
3.323260008e-05,laser0,200,72.7039603,0.3635198015
3.331303437e-05,laser0,200,72.8794056,0.364397028
3.339165233e-05,laser0,200,72.86641948,0.3643320974
3.347160299e-05,laser0,200,72.02604211,0.3601302106
3.355441367e-05,laser0,200,74.19107193,0.3709553597
