,Time,InputLaser,AbsoluteAbsorption,AbsAbsorptionUncertainty,RelativeAbsorption,CameraTrigger,FrameTrigger,FrameNumber
0,-0.00196912,-0.099822,-0.279701,0,-0.145488,0,0,0
1,-0.00196908,-0.099822,0.13361,0,0.069498,0,0,0
2,-0.00196904,-0.099822,0.059214,0,0.0308,0,0,0
3,-0.001969,-0.099822,1.005105,0,0.522811,0,0,0
4,-0.00196896,-0.099822,1.432586,0,0.745168,0,0,0
5,-0.00196892,-0.099822,0.487876,0,0.253772,0,0,0
6,-0.00196888,-0.099822,0.709883,0,0.36925,0,0,0
7,-0.00196884,-0.099822,0.045043,0,0.02343,0,0,0
8,-0.0019688,-0.099822,-0.323394,0,-0.168215,0,0,0
9,-0.00196876,-0.099822,-0.383619,0,-0.199542,0,0,0
10,-0.00196872,-0.099822,0.842142,0,0.438045,0,0,0
11,-0.00196868,-0.099822,0.251699,0,0.130923,0,0,0
12,-0.00196864,-0.099822,0.930709,0,0.484114,0,0,0
13,-0.0019686,-0.099822,-0.26553,0,-0.138117,0,0,0
14,-0.00196856,-0.099822,-0.323394,0,-0.168215,0,0,0
15,-0.00196852,-0.099822,-0.530049,0,-0.275708,0,0,0
16,-0.00196848,-0.099822,-0.618616,0,-0.321777,0,0,0
17,-0.00196844,-0.099822,-0.295052,0,-0.153473,0,0,0
18,-0.0019684,-0.099822,0.620136,0,0.322567,0,0,0
19,-0.00196836,-0.099822,-0.383619,0,-0.199542,0,0,0
20,-0.00196832,-0.099822,-0.752056,0,-0.391186,0,0,0
21,-0.00196828,-0.099822,-0.13209,0,-0.068707,0,0,0
22,-0.00196824,-0.099822,0.385139,0,0.200332,0,0,0
23,-0.0019682,-0.099822,-0.250179,0,-0.130132,0,0,0
24,-0.00196816,-0.099822,0.901187,0,0.468758,1,0,0
25,-0.00196812,-0.099822,-0.604445,0,-0.314406,1,0,0
26,-0.00196808,-0.099822,0.059214,0,0.0308,1,0,0
27,-0.00196804,-0.099822,0.871665,0,0.453402,1,0,0
28,-0.001968,-0.099822,1.934464,0,1.006223,1,0,0
29,-0.00196796,-0.099822,1.712457,0,0.890745,1,0,0
30,-0.00196792,-0.099822,0.192654,0,0.10021,1,0,0
31,-0.00196788,-0.099822,0.753576,0,0.391977,1,0,0
32,-0.00196784,-0.099822,-0.530049,0,-0.275708,1,0,0
33,-0.0019678,-0.099822,0.576443,0,0.29984,1,0,0
34,-0.00196776,-0.099822,0.620136,0,0.322567,1,0,0
35,-0.00196772,-0.099822,0.649658,0,0.337923,1,0,0
36,-0.00196768,-0.099822,0.281221,0,0.146279,1,0,0
37,-0.00196764,-0.099822,0.561091,0,0.291855,1,0,0
38,-0.0019676,-0.099822,0.148961,0,0.077483,1,0,0
39,-0.00196756,-0.099822,0.561091,0,0.291855,1,0,0
40,-0.00196752,-0.099822,0.842142,0,0.438045,1,0,0
41,-0.00196748,-0.099822,-0.752056,0,-0.391186,1,0,0
42,-0.00196744,-0.099822,0.41348,0,0.215074,1,0,0
43,-0.0019674,-0.099822,0.458354,0,0.238416,1,0,0
44,-0.00196736,-0.099822,1.048798,0,0.545539,1,0,0
45,-0.00196732,-0.099822,1.60972,0,0.837305,1,0,0
46,-0.00196728,-0.099822,0.887016,0,0.461387,1,0,0
47,-0.00196724,-0.099822,-0.236008,0,-0.122761,1,0,0
48,-0.0019672,-0.099822,-0.752056,0,-0.391186,1,0,0
49,-0.00196716,-0.099822,0.295391,0,0.15365,1,0,0
50,-0.00196712,-0.099822,1.005105,0,0.522811,1,0,0
51,-0.00196708,-0.099822,-0.368267,0,-0.191557,1,0,0
52,-0.00196704,-0.099822,-0.383619,0,-0.199542,1,0,0
53,-0.001967,-0.099822,0.295391,0,0.15365,1,0,0
54,-0.00196696,-0.099822,0.901187,0,0.468758,1,0,0
55,-0.00196692,-0.099822,0.326095,0,0.16962,1,0,0
56,-0.00196688,-0.099822,-0.8111,0,-0.421899,1,0,0
57,-0.00196684,-0.099822,-0.515878,0,-0.268337,1,0,0
58,-0.0019668,-0.099822,-0.456834,0,-0.237625,1,0,0
59,-0.00196676,-0.099822,0.783098,0,0.407333,1,0,0
60,-0.00196672,-0.099822,-0.028172,0,-0.014654,1,0,0
61,-0.00196668,-0.099822,-0.604445,0,-0.314406,1,0,0
62,-0.00196664,-0.099822,1.240102,0,0.645046,1,0,0
63,-0.0019666,-0.099822,0.767747,0,0.399348,1,0,0
64,-0.00196656,-0.099822,0.326095,0,0.16962,1,0,0
65,-0.00196652,-0.099822,0.354436,0,0.184362,1,0,0
66,-0.00196648,-0.099822,1.033446,0,0.537553,1,0,0
67,-0.00196644,-0.099822,-0.648138,0,-0.337133,1,0,0
68,-0.0019664,-0.099822,-1.106322,0,-0.57546,1,0,0
69,-0.00196636,-0.099822,-1.755811,0,-0.913296,1,0,0
70,-0.00196632,-0.099822,-0.604445,0,-0.314406,1,0,0
71,-0.00196628,-0.099822,-2.273039,0,-1.182335,1,0,0
72,-0.00196624,-0.099822,-0.515878,0,-0.268337,1,0,0
73,-0.0019662,-0.099822,-0.545401,0,-0.283693,1,0,0
74,-0.00196616,-0.099822,1.580197,0,0.821949,1,0,0
75,-0.00196612,-0.099822,-0.8111,0,-0.421899,1,0,0
76,-0.00196608,-0.099822,-0.604445,0,-0.314406,1,0,0
77,-0.00196604,-0.099822,-0.456834,0,-0.237625,1,0,0
78,-0.001966,-0.099822,-0.618616,0,-0.321777,1,0,0
79,-0.00196596,-0.099822,0.67918,0,0.35328,1,0,0
80,-0.00196592,-0.099822,0.340265,0,0.176991,1,0,0
81,-0.00196588,-0.099822,0.354436,0,0.184362,1,0,0
82,-0.00196584,-0.099822,0.369787,0,0.192347,1,0,0
83,-0.0019658,-0.099822,0.649658,0,0.337923,1,0,0
84,-0.00196576,-0.099822,0.251699,0,0.130923,1,0,0
85,-0.00196572,-0.099822,0.81262,0,0.422689,1,0,0
86,-0.00196568,-0.099822,-0.604445,0,-0.314406,1,0,0
87,-0.00196564,-0.099822,-0.13209,0,-0.068707,1,0,0
88,-0.0019656,-0.099822,-0.8111,0,-0.421899,1,0,0
89,-0.00196556,-0.099822,-0.663489,0,-0.345118,1,0,0
90,-0.00196552,-0.099822,0.620136,0,0.322567,1,0,0
91,-0.00196548,-0.099822,1.388894,0,0.722441,1,0,0
92,-0.00196544,-0.099822,0.487876,0,0.253772,1,0,0
93,-0.0019654,-0.099822,-0.338745,0,-0.1762,1,0,0
94,-0.00196536,-0.099822,-0.988234,0,-0.514036,1,0,0
95,-0.00196532,-0.099822,-0.515878,0,-0.268337,1,0,0
96,-0.00196528,-0.099822,-0.648138,0,-0.337133,1,0,0
97,-0.00196524,-0.099822,-0.073046,0,-0.037995,1,0,0
98,-0.0019652,-0.099822,-0.236008,0,-0.122761,1,0,0
99,-0.00196516,-0.099822,-0.958711,0,-0.49868,1,0,0
100,-0.00196512,-0.099822,-0.073046,0,-0.037995,1,0,0
101,-0.00196508,-0.099822,0.783098,0,0.407333,1,0,0
102,-0.00196504,-0.099822,0.916538,0,0.476743,1,0,0
103,-0.001965,-0.099822,1.566027,0,0.814578,1,0,0
104,-0.00196496,-0.099822,0.13361,0,0.069498,1,0,0
105,-0.00196492,-0.099822,-0.530049,0,-0.275708,1,0,0
106,-0.00196488,-0.099822,0.783098,0,0.407333,1,0,0
107,-0.00196484,-0.099822,-0.456834,0,-0.237625,1,0,0
108,-0.0019648,-0.099822,1.566027,0,0.814578,1,0,0
109,-0.00196476,-0.099822,0.41348,0,0.215074,1,0,0
110,-0.00196472,-0.099822,0.709883,0,0.36925,1,0,0
111,-0.00196468,-0.099822,-0.309223,0,-0.160844,1,0,0
112,-0.00196464,-0.099822,-0.383619,0,-0.199542,1,0,0
113,-0.0019646,-0.099822,-0.855974,0,-0.44524,1,0,0
114,-0.00196456,-0.099822,0.222176,0,0.115566,1,0,0
115,-0.00196452,-0.099822,0.887016,0,0.461387,1,0,0
116,-0.00196448,-0.099822,-0.323394,0,-0.168215,1,0,0
117,-0.00196444,-0.099822,-0.633967,0,-0.329762,1,0,0
118,-0.0019644,-0.099822,-0.206486,0,-0.107405,1,0,0
119,-0.00196436,-0.099822,-0.26553,0,-0.138117,1,0,0
120,-0.00196432,-0.099822,0.340265,0,0.176991,1,0,0
121,-0.00196428,-0.099822,0.354436,0,0.184362,1,0,0
122,-0.00196424,-0.099822,-0.574923,0,-0.29905,1,0,0
123,-0.0019642,-0.099822,0.163132,0,0.084854,1,0,0
124,-0.00196416,-0.099822,-0.840623,0,-0.437255,1,0,0
125,-0.00196412,-0.099822,-0.8111,0,-0.421899,1,0,0
126,-0.00196408,-0.099822,-1.47594,0,-0.767719,1,0,0
127,-0.00196404,-0.099822,-0.855974,0,-0.44524,1,0,0
128,-0.001964,-0.099822,0.045043,0,0.02343,1,0,0
129,-0.00196396,-0.099822,-0.323394,0,-0.168215,1,0,0
130,-0.00196392,-0.099822,-0.236008,0,-0.122761,1,0,0
131,-0.00196388,-0.099822,-0.191134,0,-0.09942,1,0,0
132,-0.00196384,-0.099822,-0.279701,0,-0.145488,1,0,0
133,-0.0019638,-0.099822,-0.486356,0,-0.252981,1,0,0
134,-0.00196376,-0.099822,-0.885496,0,-0.460596,1,0,0
135,-0.00196372,-0.099822,0.635487,0,0.330552,1,0,0
136,-0.00196368,-0.099822,-0.885496,0,-0.460596,1,0,0
137,-0.00196364,-0.099822,-0.161612,0,-0.084064,1,0,0
138,-0.0019636,-0.099822,0.39931,0,0.207703,1,0,0
139,-0.00196356,-0.099822,0.059214,0,0.0308,1,0,0
140,-0.00196352,-0.099822,0.620136,0,0.322567,1,0,0
141,-0.00196348,-0.099822,1.506982,0,0.783866,1,0,0
142,-0.00196344,-0.099822,0.960231,0,0.49947,1,0,0
143,-0.0019634,-0.099822,-0.117919,0,-0.061336,1,0,0
144,-0.00196336,-0.099822,0.960231,0,0.49947,1,0,0
145,-0.00196332,-0.099822,0.369787,0,0.192347,1,0,0
146,-0.00196328,-0.099822,0.590613,0,0.307211,1,0,0
147,-0.00196324,-0.099822,-0.073046,0,-0.037995,1,0,0
148,-0.0019632,-0.099822,-0.236008,0,-0.122761,1,0,0
149,-0.00196316,-0.099822,0.148961,0,0.077483,1,0,0
150,-0.00196312,-0.099822,-0.250179,0,-0.130132,1,0,0
151,-0.00196308,-0.099822,0.354436,0,0.184362,1,0,0
152,-0.00196304,-0.099822,0.930709,0,0.484114,1,0,0
153,-0.001963,-0.099822,-0.456834,0,-0.237625,1,0,0
154,-0.00196296,-0.099822,-0.323394,0,-0.168215,1,0,0
155,-0.00196292,-0.099822,-0.206486,0,-0.107405,1,0,0
156,-0.00196288,-0.099822,-0.8111,0,-0.421899,1,0,0
157,-0.00196284,-0.099822,0.251699,0,0.130923,1,0,0
158,-0.0019628,-0.099822,-0.663489,0,-0.345118,1,0,0
159,-0.00196276,-0.099822,0.326095,0,0.16962,1,0,0
160,-0.00196272,-0.099822,2.111597,0,1.09836,1,0,0
161,-0.00196268,-0.099822,0.694532,0,0.361265,1,0,0
162,-0.00196264,-0.099822,-0.530049,0,-0.275708,1,0,0
163,-0.0019626,-0.099822,0.487876,0,0.253772,1,0,0
164,-0.00196256,-0.099822,-1.534985,0,-0.798432,1,0,0
165,-0.00196252,-0.099822,-0.604445,0,-0.314406,1,0,0
166,-0.00196248,-0.099822,0.13361,0,0.069498,1,0,0
167,-0.00196244,-0.099822,-0.220657,0,-0.114776,1,0,0
168,-0.0019624,-0.099822,-0.486356,0,-0.252981,1,0,0
169,-0.00196236,-0.099822,-0.855974,0,-0.44524,1,0,0
170,-0.00196232,-0.099822,-0.279701,0,-0.145488,1,0,0
171,-0.00196228,-0.099822,0.088736,0,0.046157,1,0,0
172,-0.00196224,-0.099822,-0.590274,0,-0.307035,1,0,0
173,-0.0019622,-0.099822,0.059214,0,0.0308,1,0,0
174,-0.00196216,-0.099822,1.566027,0,0.814578,1,0,0
175,-0.00196212,-0.099822,1.712457,0,0.890745,1,0,0
176,-0.00196208,-0.099822,1.580197,0,0.821949,1,0,0
177,-0.00196204,-0.099822,-0.161612,0,-0.084064,1,0,0
178,-0.001962,-0.099822,0.088736,0,0.046157,1,0,0
179,-0.00196196,-0.099822,0.059214,0,0.0308,1,0,0
180,-0.00196192,-0.099822,-0.338745,0,-0.1762,1,0,0
181,-0.00196188,-0.099822,-0.693012,0,-0.360474,1,0,0
