,Time,InputLaser,AbsoluteAbsorption,AbsAbsorptionUncertainty,RelativeAbsorption,CameraTrigger,FrameTrigger,FrameNumber
0,-0.00164956,0,-0.81745,--,-0.79974,0,0,0
1,-0.00164952,0,-0.80252,--,-0.78513,0,0,0
2,-0.00164948,0,-1.01845,--,-0.99638,0,0,0
3,-0.00164944,0,-1.55022,--,-1.51663,0,0,0
4,-0.0016494,0,0.05774,--,0.05649,0,0,0
5,-0.00164936,0,-0.42924,--,-0.41994,0,0,0
6,-0.00164932,0,0.84794,--,0.82957,0,0,0
7,-0.00164928,0,1.04894,--,1.02621,1,0,0
8,-0.00164924,0,-0.1421,--,-0.13903,1,0,0
9,-0.0016492,0,0.91916,--,0.89924,1,0,0
10,-0.00164916,0,0.47467,--,0.46438,1,0,0
11,-0.00164912,0,0.56081,--,0.54866,1,0,0
12,-0.00164908,0,0.35981,--,0.35201,1,0,0
13,-0.00164904,0,0.57459,--,0.56214,1,0,0
14,-0.001649,0,0.83301,--,0.81496,1,0,0
15,-0.00164896,0,-0.58774,--,-0.575,1,0,0
16,-0.00164892,0,1.07765,--,1.0543,1,0,0
17,-0.00164888,0,0.77559,--,0.75878,1,0,0
18,-0.00164884,0,0.41724,--,0.4082,1,0,0
19,-0.0016488,0,-0.07089,--,-0.06936,1,0,0
20,-0.00164876,0,-0.53031,--,-0.51882,1,0,0
21,-0.00164872,0,0.77559,--,0.75878,1,0,0
22,-0.00164868,0,0.81923,--,0.80148,1,0,0
23,-0.00164864,0,-0.1421,--,-0.13903,1,0,0
24,-0.0016486,0,0.9628,--,0.94193,1,0,0
25,-0.00164856,0,-0.55903,--,-0.54691,1,0,0
26,-0.00164852,0,-0.01347,--,-0.01317,1,0,0
27,-0.00164848,0,0.53209,--,0.52056,1,0,0
28,-0.00164844,0,0.18753,--,0.18346,1,0,0
29,-0.0016484,0,-0.35803,--,-0.35027,1,0,0
30,-0.00164836,0,-0.27189,--,-0.266,1,0,0
31,-0.00164832,0,-0.18575,--,-0.18172,1,0,0
32,-0.00164828,0,-1.53529,--,-1.50202,1,0,0
33,-0.00164824,0,0.18753,--,0.18346,1,0,0
34,-0.0016482,0,-0.53031,--,-0.51882,1,0,0
35,-0.00164816,0,0.25874,--,0.25313,1,0,0
36,-0.00164812,0,-0.73131,--,-0.71546,1,0,0
37,-0.00164808,0,-0.68881,--,-0.67389,1,0,0
38,-0.00164804,0,-1.50658,--,-1.47393,1,0,0
39,-0.001648,0,-1.765,--,-1.72676,1,0,0
40,-0.00164796,0,-1.3343,--,-1.30538,1,0,0
41,-0.00164792,0,-1.9235,--,-1.88182,1,0,0
42,-0.00164788,0,-1.06209,--,-1.03908,1,0,0
43,-0.00164784,0,-0.09961,--,-0.09745,1,0,0
44,-0.0016478,0,0.25874,--,0.25313,1,0,0
45,-0.00164776,0,0.15882,--,0.15537,1,0,0
46,-0.00164772,0,-0.55903,--,-0.54691,1,0,0
47,-0.00164768,0,-1.01845,--,-0.99638,1,0,0
48,-0.00164764,0,-0.57396,--,-0.56152,1,0,0
49,-0.0016476,0,-0.74624,--,-0.73007,1,0,0
50,-0.00164756,0,-0.40168,--,-0.39297,1,0,0
51,-0.00164752,0,1.83799,--,1.79816,1,0,0
52,-0.00164748,0,0.81923,--,0.80148,1,0,0
53,-0.00164744,0,1.69557,--,1.65883,1,0,0
54,-0.0016474,0,1.37857,--,1.3487,1,0,0
55,-0.00164736,0,-0.58774,--,-0.575,1,0,0
56,-0.00164732,0,-0.61645,--,-0.6031,1,0,0
57,-0.00164728,0,-0.3431,--,-0.33566,1,0,0
58,-0.00164724,0,0.30238,--,0.29583,1,0,0
59,-0.0016472,0,-0.1421,--,-0.13903,1,0,0
60,-0.00164716,0,0.64695,--,0.63293,1,0,0
61,-0.00164712,0,1.76678,--,1.7285,1,0,0
62,-0.00164708,0,0.87666,--,0.85766,1,0,0
63,-0.00164704,0,-0.68881,--,-0.67389,1,0,0
64,-0.001647,0,-0.41546,--,-0.40646,1,0,0
65,-0.00164696,0,0.83301,--,0.81496,1,0,0
66,-0.00164692,0,0.77559,--,0.75878,1,0,0
67,-0.00164688,0,-0.09961,--,-0.09745,1,0,0
68,-0.00164684,0,0.89044,--,0.87114,1,0,0
69,-0.0016468,0,1.27865,--,1.25094,1,0,0
70,-0.00164676,0,0.31732,--,0.31044,1,0,0
71,-0.00164672,0,0.44595,--,0.43629,1,0,0
72,-0.00164668,0,-0.04218,--,-0.04127,1,0,0
73,-0.00164664,0,0.01525,--,0.01492,1,0,0
74,-0.0016466,0,0.1301,--,0.12728,1,0,0
75,-0.00164656,0,-2.36799,--,-2.31668,1,0,0
76,-0.00164652,0,-0.91737,--,-0.8975,1,0,0
77,-0.00164648,0,0.05774,--,0.05649,1,0,0
78,-0.00164644,0,-0.61645,--,-0.6031,1,0,0
79,-0.0016464,0,0.90537,--,0.88575,1,0,0
80,-0.00164636,0,-0.32932,--,-0.32218,1,0,0
81,-0.00164632,0,-0.05711,--,-0.05587,1,0,0
82,-0.00164628,0,-0.5016,--,-0.49073,1,0,0
83,-0.00164624,0,-0.93231,--,-0.9121,1,0,0
84,-0.0016462,0,-0.44417,--,-0.43455,1,0,0
