time_s,laser,input_power_W,deposited_power_W,absorptivity
1.199760048e-09,laser0,0,0,0
2.639817858e-09,laser0,0,0,0
4.367638085e-09,laser0,0,0,0
6.439945833e-09,laser0,0,0,0
8.925681562e-09,laser0,0,0,0
1.190633174e-08,laser0,0,0,0
1.548203978e-08,laser0,0,0,0
1.976825567e-08,laser0,0,0,0
2.491171475e-08,laser0,0,0,0
3.108386564e-08,laser0,0,0,0
3.848580599e-08,laser0,0,0,0
4.736143583e-08,laser0,0,0,0
5.803159192e-08,laser0,0,0,0
7.080769987e-08,laser0,0,0,0
8.611874987e-08,laser0,0,0,0
1.045214542e-07,laser0,0,0,0
1.265619024e-07,laser0,0,0,0
1.529483545e-07,laser0,0,0,0
1.847940725e-07,laser0,0,0,0
2.234154752e-07,laser0,0,0,0
2.701676996e-07,laser0,0,0,0
3.259687415e-07,laser0,0,0,0
3.929299918e-07,laser0,0,0,0
4.732834923e-07,laser0,0,0,0
5.68703274e-07,laser0,0,0,0
6.788030221e-07,laser0,0,0,0
8.109227199e-07,laser0,0,0,0
9.595573799e-07,laser0,0,0,0
1.132964483e-06,laser0,0,0,0
1.349723362e-06,laser0,0,0,0
1.566482242e-06,laser0,0,0,0
1.199760048e-09,laser0,0,0,0
2.639817858e-09,laser0,0,0,0
4.367638085e-09,laser0,0,0,0
6.439945833e-09,laser0,0,0,0
8.925681562e-09,laser0,0,0,0
1.190633174e-08,laser0,0,0,0
1.548203978e-08,laser0,0,0,0
1.976825567e-08,laser0,0,0,0
2.491171475e-08,laser0,0,0,0
3.108386564e-08,laser0,0,0,0
3.848580599e-08,laser0,0,0,0
4.736143583e-08,laser0,0,0,0
5.803159192e-08,laser0,0,0,0
7.080769987e-08,laser0,0,0,0
8.611874987e-08,laser0,0,0,0
1.045214542e-07,laser0,0,0,0
1.265619024e-07,laser0,0,0,0
1.529483545e-07,laser0,0,0,0
1.847940725e-07,laser0,0,0,0
2.234154752e-07,laser0,0,0,0
2.701676996e-07,laser0,0,0,0
3.259687415e-07,laser0,0,0,0
3.929299918e-07,laser0,0,0,0
4.732834923e-07,laser0,0,0,0
5.68703274e-07,laser0,0,0,0
6.788030221e-07,laser0,0,0,0
8.109227199e-07,laser0,0,0,0
9.595573799e-07,laser0,0,0,0
1.132964483e-06,laser0,0,0,0
1.349723362e-06,laser0,0,0,0
1.566482242e-06,laser0,0,0,0
1.783241121e-06,laser0,0,0,0
2e-06,laser0,0,0,0
2.25e-06,laser0,0,0,0
2.541666667e-06,laser0,0,0,0
2.90625e-06,laser0,0,0,0
3.270833333e-06,laser0,0,0,0
3.635416667e-06,laser0,0,0,0
4e-06,laser0,0,0,0
4.4e-06,laser0,0,0,0
4.933333333e-06,laser0,0,0,0
5.466666667e-06,laser0,0,0,0
6e-06,laser0,0,0,0
6.666666667e-06,laser0,0,0,0
7.333333333e-06,laser0,0,0,0
8e-06,laser0,0,0,0
8.666666667e-06,laser0,0,0,0
9.333333333e-06,laser0,0,0,0
1e-05,laser0,0,0,0
1.066666667e-05,laser0,0,0,0
1.133333333e-05,laser0,0,0,0
1.2e-05,laser0,0,0,0
1.3e-05,laser0,0,0,0
1.4e-05,laser0,0,0,0
1.5e-05,laser0,0,0,0
1.6e-05,laser0,0,0,0
1.7e-05,laser0,0,0,0
1.8e-05,laser0,0,0,0
1.9e-05,laser0,0,0,0
2e-05,laser0,0,0,0
1.200120012e-09,laser0,0,0,0
2.640091161e-09,laser0,0,0,0
4.368305561e-09,laser0,0,0,0
6.441804106e-09,laser0,0,0,0
8.930002358e-09,laser0,0,0,0
1.191509585e-08,laser0,0,0,0
1.549828085e-08,laser0,0,0,0
1.979655671e-08,laser0,0,0,0
2.495226065e-08,laser0,0,0,0
3.113429446e-08,laser0,0,0,0
3.855273503e-08,laser0,0,0,0
4.745486371e-08,laser0,0,0,0
5.813741814e-08,laser0,0,0,0
